城市,日历日(YYYY-MM-DD),天气,日历年(YYYY),日历周(周一起),最低温度,最高温度,省份,县区,平均温度,更新时间
苏州,2018/1/1,晴,2018,2018 W01,5,11,江苏,苏州,8,2017/11/28
苏州,2018/1/2,多云转小雨,2018,2018 W01,8,13,江苏,苏州,10,2017/11/28
苏州,2018/1/3,小雨转中雨,2018,2018 W01,2,8,江苏,苏州,5,2017/11/28
苏州,2018/1/4,中雨,2018,2018 W01,2,4,江苏,苏州,3,2017/11/28
苏州,2018/1/5,阴转多云,2018,2018 W01,-2,5,江苏,苏州,1,2017/11/28
苏州,2018/1/6,多云转小到中雨,2018,2018 W01,0,8,江苏,苏州,4,2017/11/28
苏州,2018/1/7,小雨,2018,2018 W01,4,10,江苏,苏州,7,2017/11/29
苏州,2018/1/8,雨夹雪转多云,2018,2018 W02,-3,3,江苏,苏州,0,2017/11/30
苏州,2018/1/9,晴,2018,2018 W02,-3,4,江苏,苏州,0,2017/12/1
苏州,2018/1/10,晴,2018,2018 W02,-3,5,江苏,苏州,1,2017/12/2
苏州,2018/1/11,晴,2018,2018 W02,-2,5,江苏,苏州,1,2017/12/3
苏州,2018/1/12,晴,2018,2018 W02,-2,5,江苏,苏州,1,2017/12/4
苏州,2018/1/13,晴转多云,2018,2018 W02,-3,7,江苏,苏州,2,2017/12/5
苏州,2018/1/14,多云,2018,2018 W02,2,13,江苏,苏州,7,2017/12/6
苏州,2018/1/15,多云转小雨,2018,2018 W03,4,16,江苏,苏州,10,2017/12/7
苏州,2018/1/16,小雨,2018,2018 W03,7,14,江苏,苏州,10,2017/12/8
苏州,2018/1/17,多云,2018,2018 W03,3,13,江苏,苏州,8,2017/12/9
苏州,2018/1/18,阴,2018,2018 W03,6,13,江苏,苏州,9,2017/12/10
苏州,2018/1/19,阴转多云,2018,2018 W03,5,11,江苏,苏州,8,2017/12/11
苏州,2018/1/20,多云转小雨,2018,2018 W03,7,11,江苏,苏州,9,2017/12/12
苏州,2018/1/21,中雨转小雨,2018,2018 W03,6,8,江苏,苏州,7,2017/12/13
苏州,2018/1/22,多云,2018,2018 W04,4,11,江苏,苏州,7,2017/12/14
苏州,2018/1/23,多云转阴,2018,2018 W04,2,7,江苏,苏州,4,2017/12/15
苏州,2018/1/24,阴转大雪,2018,2018 W04,1,4,江苏,苏州,2,2017/12/16
苏州,2018/1/25,大雪,2018,2018 W04,0,1,江苏,苏州,0,2017/12/17
苏州,2018/1/26,阴转雨夹雪,2018,2018 W04,-1,2,江苏,苏州,0,2017/12/18
苏州,2018/1/27,中到大雪,2018,2018 W04,0,1,江苏,苏州,0,2017/12/19
苏州,2018/1/28,雨夹雪转阴,2018,2018 W04,-2,3,江苏,苏州,0,2017/12/20
苏州,2018/1/29,多云,2018,2018 W05,-4,1,江苏,苏州,-1,2017/12/21
苏州,2018/1/30,多云转阴,2018,2018 W05,-3,3,江苏,苏州,0,2017/12/22
苏州,2018/1/31,阴转多云,2018,2018 W05,-3,3,江苏,苏州,0,2017/12/23
苏州,2018/2/1,多云,2018,2018 W05,-2,6,江苏,苏州,2,2017/12/24
苏州,2018/2/2,多云,2018,2018 W05,-2,7,江苏,苏州,2,2017/12/25
苏州,2018/2/3,多云转晴,2018,2018 W05,-4,2,江苏,苏州,-1,2017/12/26
苏州,2018/2/4,晴,2018,2018 W05,-5,3,江苏,苏州,-1,2017/12/27
苏州,2018/2/5,晴,2018,2018 W06,-4,4,江苏,苏州,0,2017/12/28
苏州,2018/2/6,晴转多云,2018,2018 W06,-4,3,江苏,苏州,0,2017/12/29
苏州,2018/2/7,多云,2018,2018 W06,-1,7,江苏,苏州,3,2017/12/30
苏州,2018/2/8,多云转阴,2018,2018 W06,0,6,江苏,苏州,3,2017/12/31
苏州,2018/2/9,阴转小雨,2018,2018 W06,2,10,江苏,苏州,6,2018/1/1
苏州,2018/2/10,小雨转多云,2018,2018 W06,-1,6,江苏,苏州,2,2018/1/2
苏州,2018/2/11,晴,2018,2018 W06,-2,8,江苏,苏州,3,2018/1/3
苏州,2018/2/12,晴转多云,2018,2018 W07,-2,8,江苏,苏州,3,2018/1/4
苏州,2018/2/13,晴转多云,2018,2018 W07,2,12,江苏,苏州,7,2018/1/5
苏州,2018/2/14,多云转阴,2018,2018 W07,7,18,江苏,苏州,12,2018/1/6
苏州,2018/2/15,小雨,2018,2018 W07,5,9,江苏,苏州,7,2018/1/7
苏州,2018/2/16,小雨转多云,2018,2018 W07,2,8,江苏,苏州,5,2018/1/8
苏州,2018/2/17,多云,2018,2018 W07,3,11,江苏,苏州,7,2018/1/9
苏州,2018/2/18,小到中雨,2018,2018 W07,7,10,江苏,苏州,8,2018/1/10
苏州,2018/2/19,中雨转阴,2018,2018 W08,6,9,江苏,苏州,7,2018/1/11
苏州,2018/2/20,小到中雨转小雨,2018,2018 W08,5,8,江苏,苏州,6,2018/1/12
苏州,2018/2/21,阴,2018,2018 W08,3,8,江苏,苏州,5,2018/1/13
苏州,2018/2/22,多云,2018,2018 W08,3,10,江苏,苏州,6,2018/1/14
苏州,2018/2/23,多云转小雨,2018,2018 W08,5,15,江苏,苏州,10,2018/1/15
苏州,2018/2/24,小雨,2018,2018 W08,8,13,江苏,苏州,10,2018/1/16
苏州,2018/2/25,多云,2018,2018 W08,2,11,江苏,苏州,6,2018/1/17
苏州,2018/2/26,晴转多云,2018,2018 W09,5,14,江苏,苏州,9,2018/1/18
苏州,2018/2/27,多云转中雨,2018,2018 W09,9,17,江苏,苏州,13,2018/1/19
苏州,2018/2/28,小雨转多云,2018,2018 W09,7,14,江苏,苏州,10,2018/1/20
苏州,2018/3/1,多云转小雨,2018,2018 W09,6,15,江苏,苏州,10,2018/1/21
苏州,2018/3/2,阴,2018,2018 W09,6,10,江苏,苏州,8,2018/1/22
苏州,2018/3/3,多云转阴,2018,2018 W09,11,21,江苏,苏州,16,2018/1/23
苏州,2018/3/4,雷阵雨转中雨,2018,2018 W09,9,25,江苏,苏州,17,2018/1/24
苏州,2018/3/5,小雨转多云,2018,2018 W10,6,11,江苏,苏州,8,2018/1/25
苏州,2018/3/6,多云转小雨,2018,2018 W10,8,12,江苏,苏州,10,2018/1/26
苏州,2018/3/7,中雨转小雨,2018,2018 W10,7,10,江苏,苏州,8,2018/1/27
苏州,2018/3/8,阴转多云,2018,2018 W10,3,10,江苏,苏州,6,2018/1/28
苏州,2018/3/9,晴,2018,2018 W10,2,10,江苏,苏州,6,2018/1/29
苏州,2018/3/10,晴转多云,2018,2018 W10,3,15,江苏,苏州,9,2018/1/30
苏州,2018/3/11,多云,2018,2018 W10,7,18,江苏,苏州,12,2018/1/31
苏州,2018/3/12,多云,2018,2018 W11,11,21,江苏,苏州,16,2018/2/1
苏州,2018/3/13,多云,2018,2018 W11,15,24,江苏,苏州,19,2018/2/2
苏州,2018/3/14,阴转阵雨,2018,2018 W11,17,24,江苏,苏州,20,2018/2/3
苏州,2018/3/15,阵雨,2018,2018 W11,9,23,江苏,苏州,16,2018/2/4
苏州,2018/3/16,阴,2018,2018 W11,8,10,江苏,苏州,9,2018/2/5
苏州,2018/3/17,多云转阴,2018,2018 W11,10,15,江苏,苏州,12,2018/2/6
苏州,2018/3/18,阵雨,2018,2018 W11,9,14,江苏,苏州,11,2018/2/7
苏州,2018/3/19,阵雨,2018,2018 W12,7,10,江苏,苏州,8,2018/2/8
苏州,2018/3/20,小雨,2018,2018 W12,5,9,江苏,苏州,7,2018/2/9
苏州,2018/3/21,小雨转多云,2018,2018 W12,4,8,江苏,苏州,6,2018/2/10
苏州,2018/3/22,多云,2018,2018 W12,5,14,江苏,苏州,9,2018/2/11
苏州,2018/3/23,多云,2018,2018 W12,8,18,江苏,苏州,13,2018/2/12
苏州,2018/3/24,多云转阴,2018,2018 W12,11,23,江苏,苏州,17,2018/2/13
苏州,2018/3/25,阴转多云,2018,2018 W12,12,21,江苏,苏州,16,2018/2/14
苏州,2018/3/26,阴,2018,2018 W13,12,22,江苏,苏州,17,2018/2/15
苏州,2018/3/27,多云,2018,2018 W13,13,23,江苏,苏州,18,2018/2/16
苏州,2018/3/28,晴转多云,2018,2018 W13,15,25,江苏,苏州,20,2018/2/17
苏州,2018/3/29,多云,2018,2018 W13,15,25,江苏,苏州,20,2018/2/18
苏州,2018/3/30,多云,2018,2018 W13,13,23,江苏,苏州,18,2018/2/19
苏州,2018/3/31,多云,2018,2018 W13,14,23,江苏,苏州,18,2018/2/20
苏州,2018/4/1,阴,2018,2018 W13,15,26,江苏,苏州,20,2018/2/21
苏州,2018/4/2,多云转阴,2018,2018 W14,18,26,江苏,苏州,22,2018/2/22
苏州,2018/4/3,阵雨转阴,2018,2018 W14,18,25,江苏,苏州,21,2018/2/23
苏州,2018/4/4,阴,2018,2018 W14,12,15,江苏,苏州,13,2018/2/24
苏州,2018/4/5,中雨转小雨,2018,2018 W14,8,15,江苏,苏州,11,2018/2/25
苏州,2018/4/6,阴转多云,2018,2018 W14,8,16,江苏,苏州,12,2018/2/26
苏州,2018/4/7,晴,2018,2018 W14,7,14,江苏,苏州,10,2018/2/27
苏州,2018/4/8,晴转多云,2018,2018 W14,9,20,江苏,苏州,14,2018/2/28
苏州,2018/4/9,晴,2018,2018 W15,15,25,江苏,苏州,20,2018/3/1
苏州,2018/4/10,晴转多云,2018,2018 W15,18,28,江苏,苏州,23,2018/3/2
苏州,2018/4/11,阴转阵雨,2018,2018 W15,16,25,江苏,苏州,20,2018/3/3
苏州,2018/4/12,阵雨,2018,2018 W15,14,21,江苏,苏州,17,2018/3/4
苏州,2018/4/13,阵雨转中雨,2018,2018 W15,15,20,江苏,苏州,17,2018/3/5
苏州,2018/4/14,阵雨转多云,2018,2018 W15,11,14,江苏,苏州,12,2018/3/6
苏州,2018/4/15,多云,2018,2018 W15,9,19,江苏,苏州,14,2018/3/7
苏州,2018/4/16,多云,2018,2018 W16,8,20,江苏,苏州,14,2018/3/8
苏州,2018/4/17,晴,2018,2018 W16,11,21,江苏,苏州,16,2018/3/9
苏州,2018/4/18,晴,2018,2018 W16,13,25,江苏,苏州,19,2018/3/10
苏州,2018/4/19,晴转多云,2018,2018 W16,15,28,江苏,苏州,21,2018/3/11
苏州,2018/4/20,多云,2018,2018 W16,18,28,江苏,苏州,23,2018/3/12
