门店ID,品牌品类,部门(新版),类别描述(新版),日历年(YYYY年),日历周(周一起),直营净零售数量
A00021S112,D2CMB,女装,夹克,2019年,2019 W18,1
A00021S112,D2CMB,女装,夹克,2019年,2019 W19,1
A00021S112,D2CMB,女装,梭织半裙,2019年,2019 W19,2
A00021S112,D2CMB,女装,梭织半裙,2019年,2019 W26,1
A00021S112,D2CMB,女装,梭织短裤,2019年,2019 W26,2
A00021S112,D2CMB,女装,梭织短裤,2019年,2019 W27,2
A00021S112,D2CMB,女装,梭织短裤,2019年,2019 W28,2
A00021S112,D2CMB,女装,梭织短裤,2019年,2019 W29,3
A00021S112,D2CMB,女装,梭织短裤,2019年,2019 W30,2
A00021S112,D2CMB,女装,梭织长裤,2019年,2019 W27,1
A00021S112,D2CMB,女装,梭织长裤,2019年,2019 W29,1
A00021S112,D2CMB,女装,梭织长裤,2019年,2019 W30,2
A00021S112,D2CMB,女装,牛仔半裙,2019年,2019 W26,1
A00021S112,D2CMB,女装,牛仔半裙,2019年,2019 W27,1
A00021S112,D2CMB,女装,牛仔半裙,2019年,2019 W30,1
A00021S112,D2CMB,女装,短袖T恤,2019年,2019 W20,3
A00021S112,D2CMB,女装,短袖T恤,2019年,2019 W21,4
A00021S112,D2CMB,女装,短袖T恤,2019年,2019 W22,2
A00021S112,D2CMB,女装,短袖T恤,2019年,2019 W23,1
A00021S112,D2CMB,女装,短袖T恤,2019年,2019 W24,7
A00021S112,D2CMB,女装,短袖T恤,2019年,2019 W25,7
A00021S112,D2CMB,女装,短袖T恤,2019年,2019 W27,13
A00021S112,D2CMB,女装,短袖T恤,2019年,2019 W28,4
A00021S112,D2CMB,女装,短袖T恤,2019年,2019 W29,9
A00021S112,D2CMB,女装,短袖T恤,2019年,2019 W30,4
A00021S112,D2CMB,女装,短袖衬衫,2019年,2019 W19,2
A00021S112,D2CMB,女装,短袖衬衫,2019年,2019 W26,1
A00021S112,D2CMB,女装,连衣裙,2019年,2019 W18,4
A00021S112,D2CMB,女装,连衣裙,2019年,2019 W19,3
A00021S112,D2CMB,女装,连衣裙,2019年,2019 W20,3
A00021S112,D2CMB,女装,连衣裙,2019年,2019 W21,1
A00021S112,D2CMB,女装,连衣裙,2019年,2019 W23,1
A00021S112,D2CMB,女装,连衣裙,2019年,2019 W24,1
A00021S112,D2CMB,女装,连衣裙,2019年,2019 W28,2
A00021S112,D2CMB,女装,针织中裤,2019年,2019 W28,2
A00021S112,D2CMB,女装,针织中裤,2019年,2019 W29,1
A00021S112,D2CMB,女装,针织中裤,2019年,2019 W30,1
A00021S112,D2CMB,女装,针织半裙,2019年,2019 W18,1
A00021S112,D2CMB,女装,针织半裙,2019年,2019 W19,1
A00021S112,D2CMB,女装,针织短袖恤,2019年,2019 W19,2
A00021S112,D2CMB,女装,针织短袖恤,2019年,2019 W26,2
A00021S112,D2CMB,女装,针织短袖恤,2019年,2019 W27,5
A00021S112,D2CMB,女装,针织短袖恤,2019年,2019 W28,5
A00021S112,D2CMB,女装,针织短袖恤,2019年,2019 W29,3
A00021S112,D2CMB,女装,针织短袖恤,2019年,2019 W30,5
A00021S112,D2CMB,女装,针织连衣裙,2019年,2019 W19,1
A00021S112,D2CMB,女装,针织连衣裙,2019年,2019 W30,1
A00021S112,D2CMB,女装,长袖衬衫,2019年,2019 W30,3
A00021S112,D2CMB,男装,梭织长裤,2019年,2019 W26,13
A00021S112,D2CMB,男装,梭织长裤,2019年,2019 W27,15
A00021S112,D2CMB,男装,梭织长裤,2019年,2019 W28,13
A00021S112,D2CMB,男装,梭织长裤,2019年,2019 W29,18
A00021S112,D2CMB,男装,梭织长裤,2019年,2019 W30,14
A00021S112,D2CMB,男装,短袖T恤,2019年,2019 W17,1
A00021S112,D2CMB,男装,短袖T恤,2019年,2019 W18,3
A00021S112,D2CMB,男装,短袖T恤,2019年,2019 W19,1
A00021S112,D2CMB,男装,短袖T恤,2019年,2019 W20,9
A00021S112,D2CMB,男装,短袖T恤,2019年,2019 W21,5
A00021S112,D2CMB,男装,短袖T恤,2019年,2019 W22,4
A00021S112,D2CMB,男装,短袖T恤,2019年,2019 W23,2
A00021S112,D2CMB,男装,短袖T恤,2019年,2019 W24,1
A00021S112,D2CMB,男装,短袖T恤,2019年,2019 W25,7
A00021S112,D2CMB,男装,短袖T恤,2019年,2019 W26,2
A00021S112,D2CMB,男装,短袖T恤,2019年,2019 W27,4
A00021S112,D2CMB,男装,短袖T恤,2019年,2019 W29,3
A00021S112,D2CMB,男装,短袖T恤,2019年,2019 W30,1
A00021S112,Metersbonwe品牌,促销,促销,2017年,2017 W08,1
A00021S112,Metersbonwe品牌,促销,促销,2017年,2017 W12,2
A00021S112,Metersbonwe品牌,促销,促销,2017年,2017 W17,67
A00021S112,Metersbonwe品牌,促销,促销,2017年,2017 W18,12
A00021S112,Metersbonwe品牌,促销,促销,2017年,2017 W19,0
A00021S112,Metersbonwe品牌,促销,促销,2017年,2017 W21,30
A00021S112,Metersbonwe品牌,促销,促销,2017年,2017 W23,2
A00021S112,Metersbonwe品牌,促销,促销,2017年,2017 W32,1
A00021S112,Metersbonwe品牌,促销,促销,2017年,2017 W35,1
A00021S112,Metersbonwe品牌,促销,促销,2017年,2017 W38,-1
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W17,181
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W18,611
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W19,214
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W20,70
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W21,54
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W33,25
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W34,91
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W35,96
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W36,75
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W37,53
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W38,163
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W39,107
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W40,297
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W41,23
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W42,18
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W43,14
A00021S112,Metersbonwe品牌,促销,促销,2018年,2018 W44,3
A00021S112,Metersbonwe品牌,促销,促销,2019年,2019 W24,27
A00021S112,Metersbonwe品牌,促销,促销,2019年,2019 W25,31
A00021S112,Metersbonwe品牌,促销,促销,2019年,2019 W26,32
A00021S112,Metersbonwe品牌,促销,促销,2019年,2019 W27,8
A00021S112,Metersbonwe品牌,促销,促销,2019年,2019 W28,5
A00021S112,Metersbonwe品牌,促销,促销,2019年,2019 W29,13
A00021S112,Metersbonwe品牌,促销,保温杯,2018年,2018 W39,92
A00021S112,Metersbonwe品牌,促销,保温杯,2018年,2018 W40,8
A00021S112,Metersbonwe品牌,促销,保温杯,2019年,2019 W04,5
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W11,1
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W12,3
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W13,2
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W15,1
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W16,3
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W18,3
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W19,3
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W20,3
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W30,2
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W31,2
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W33,3
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W34,1
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W36,1
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W38,1
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W40,6
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W45,1
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W50,5
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W51,7
A00021S112,Metersbonwe品牌,内衣,女内裤,2017年,2017 W52,2
A00021S112,Metersbonwe品牌,内衣,女内裤,2018年,2018 W01,6
A00021S112,Metersbonwe品牌,内衣,女内裤,2018年,2018 W02,9
A00021S112,Metersbonwe品牌,内衣,女内裤,2018年,2018 W03,3
A00021S112,Metersbonwe品牌,内衣,女内裤,2018年,2018 W04,1
